127.0.0.1 - - [22/Nov/2017:17:09:56 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [22/Nov/2017:17:10:46 +0530] "GET /populate/employee.jsp HTTP/1.1" 200 1541
127.0.0.1 - - [22/Nov/2017:17:11:12 +0530] "GET /populate/GetEmployeesServlet?emp=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:11:13 +0530] "GET /populate/empdetails.jsp HTTP/1.1" 500 3487
127.0.0.1 - - [22/Nov/2017:17:15:05 +0530] "GET /populate/employee.jsp HTTP/1.1" 200 1541
127.0.0.1 - - [22/Nov/2017:17:15:09 +0530] "GET /populate/GetEmployeesServlet?emp=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:15:09 +0530] "GET /populate/empdetails.jsp HTTP/1.1" 200 15037
127.0.0.1 - - [22/Nov/2017:17:15:09 +0530] "GET /populate/sorttable.js HTTP/1.1" 404 1034
127.0.0.1 - - [22/Nov/2017:17:15:29 +0530] "GET /populate/DeleteServlet?empId=125&&deptId=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:15:29 +0530] "GET /populate/GetEmployeesServlet?emp=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:15:29 +0530] "GET /populate/empdetails.jsp HTTP/1.1" 200 14673
127.0.0.1 - - [22/Nov/2017:17:15:29 +0530] "GET /populate/sorttable.js HTTP/1.1" 404 1034
127.0.0.1 - - [22/Nov/2017:17:16:02 +0530] "GET /populate/DeleteServlet?empId=126&&deptId=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:16:02 +0530] "GET /populate/GetEmployeesServlet?emp=50 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:16:02 +0530] "GET /populate/empdetails.jsp HTTP/1.1" 200 14308
127.0.0.1 - - [22/Nov/2017:17:16:02 +0530] "GET /populate/sorttable.js HTTP/1.1" 404 1034
127.0.0.1 - - [22/Nov/2017:17:16:20 +0530] "GET /populate/UpdateServlet?empId=127 HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:16:20 +0530] "GET /populate/update.jsp HTTP/1.1" 200 618
127.0.0.1 - - [22/Nov/2017:17:16:42 +0530] "POST /populate/UpdateServlet HTTP/1.1" 302 -
127.0.0.1 - - [22/Nov/2017:17:16:42 +0530] "GET /populate/empdetails.jsp HTTP/1.1" 200 14316
127.0.0.1 - - [22/Nov/2017:17:16:42 +0530] "GET /populate/sorttable.js HTTP/1.1" 404 1034
127.0.0.1 - - [22/Nov/2017:17:18:45 +0530] "GET /populate/DeleteServlet? HTTP/1.1" 500 1582
